train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp,test.loss.mean,test.loss.confidence,test.acc.mean,test.acc.confidence
2,2,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.8100000092387198,0.7316667112708092,2019-11-05 10:33:36,0.5702858734130858,0.0357513704319627,0.6923333738744262,0.03438175214341454
2,2,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9415000098943708,0.8873333770036698,2019-11-05 10:40:03,0.3029661594517529,0.03907093614909489,0.8680000442266467,0.02153728959327455
4,4,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9237999808788299,0.7954666841030119,2019-11-05 12:04:50,0.6847703522443769,0.026259827505466248,0.7396000152826305,0.011499477140904713
4,4,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9065999805927276,0.6289333462715151,2019-11-05 12:06:25,0.8739231598377228,0.02943216543975023,0.6300000125169755,0.014145958112621895
4,4,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.8661999768018726,0.7514666831493375,2019-11-05 12:06:57,0.7820817220211028,0.02512291056845114,0.6852000141143799,0.01322094532889031
4,4,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9540000310540201,0.8148889112472534,2019-11-05 12:09:23,0.6414714363217352,0.02349925787808741,0.7598889166116718,0.009624997780153039
4,4,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9536666986346244,0.7948889160156251,2019-11-05 12:10:32,0.6948301553726198,0.026157682736928922,0.7613333606719972,0.00890409421278275
4,4,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9262500074505804,0.8298333787918093,2019-11-05 12:12:06,0.5058968921005723,0.02408763724238057,0.7973333793878558,0.012412812860063845
4,4,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.8960000097751617,0.7711667066812516,2019-11-05 12:12:10,0.5887753486633299,0.026511334278311677,0.7563333791494371,0.014644204027089746
4,4,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.8561999750137328,0.663600016236305,2019-11-05 12:12:59,0.8934349715709686,0.02494230968758226,0.6184000113606454,0.012849888507203758
4,4,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9593999844789504,0.8045333516597747,2019-11-05 12:13:31,0.8053305092453956,0.031054849837373916,0.7081333500146864,0.011804030598666054
4,4,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9443999892473223,0.6578666776418688,2019-11-05 12:15:50,0.8838722693920131,0.027666416716817605,0.6389333456754686,0.012660051247451069
2,2,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.944666686058044,0.6877777925133705,2019-11-05 10:40:16,0.7710929691791533,0.06500781479388473,0.6582222381234168,0.027566283590905398
4,4,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.928199977874756,0.7553333503007889,2019-11-05 12:16:25,0.7379211661219598,0.028365136831066846,0.7320000153779982,0.011238837788995756
4,4,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9350000402331351,0.8330000263452528,2019-11-05 12:19:40,0.5728121840953828,0.02214656498418171,0.7903333592414856,0.008878096124564848
4,4,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9658333587646482,0.8045555818080905,2019-11-05 12:20:56,0.6202830123901366,0.024488350163387955,0.7815555828809737,0.009209510730817407
4,4,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9745000007748605,0.8596667122840878,2019-11-05 12:21:09,0.4950278718769552,0.026746670166917823,0.8070000457763671,0.011164358441935977
4,4,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9315000057220454,0.8191667133569717,2019-11-05 12:21:30,0.4253789107501507,0.024012119735537903,0.8281667125225066,0.012237686479942802
4,4,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.9355999839305879,0.6840000146627424,2019-11-05 12:22:44,0.817919206023216,0.028477515326606067,0.6485333454608915,0.01366546881050677
4,4,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9223999789357187,0.8148000198602678,2019-11-05 12:23:18,0.6881427937746047,0.023789388816631573,0.7394666838645934,0.012355269600252792
4,4,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9265999826788901,0.6477333456277846,2019-11-05 12:26:01,0.8707518219947815,0.029250820325868326,0.6333333486318591,0.0127621905955746
4,4,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.834199975430965,0.7434666854143142,2019-11-05 12:27:06,0.8414962393045425,0.02570363714088968,0.6628000152111052,0.013924383031569875
4,4,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9551666951179506,0.8364444684982301,2019-11-05 12:30:46,0.5553485044836999,0.022693430629178574,0.7917778038978579,0.009211591284632663
2,2,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.9470000317692757,0.7993333452939987,2019-11-05 10:40:21,0.604101751744747,0.0427355470931541,0.7835555681586269,0.01632777353904222
4,4,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9690000233054161,0.8135555815696714,2019-11-05 12:31:11,0.6621938973665241,0.027160530544965367,0.7820000249147415,0.008407645839987963
5,5,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.8707999762892724,0.5569333450496199,2019-11-05 12:31:18,1.2872191393375394,0.04761597448204423,0.4810666777193546,0.01682878796669879
5,5,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.715599980726838,0.433733344823122,2019-11-05 12:32:16,1.3217411392927167,0.037676088079469275,0.4384000119566917,0.013709620516199322
5,5,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.7343333736062053,0.39088889628648765,2019-11-05 12:33:56,1.6621276867389674,0.04912005324328445,0.3794444508850575,0.01345457642390364
5,5,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.7750000429153442,0.5175555649399759,2019-11-05 12:34:24,1.6859078621864323,0.051420107469460095,0.3866666740179061,0.015504625697011772
5,5,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.6011666996777054,0.3484444519877433,2019-11-05 12:37:28,1.6071073198318484,0.03625502173327565,0.36266667455434803,0.012317504140622592
5,5,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.7180000391602512,0.4273333404958248,2019-11-05 12:38:40,1.6936798381805422,0.05505634357389779,0.3748888959735633,0.01727204500196648
5,5,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.7714285850524899,0.5519047859311104,2019-11-05 12:38:56,1.284807122349739,0.03921722873984065,0.49685716390609747,0.014671916802217248
5,5,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.6508571614325048,0.47847621142864216,2019-11-05 12:39:21,1.4508532869815827,0.03530338282978375,0.444000016450882,0.014579810217075375
5,5,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.895199978351593,0.7374666804075242,2019-11-05 12:40:47,0.8361453276872637,0.02373250609785293,0.6605333459377289,0.012466438849041809
2,2,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9273333549499511,0.7057777929306032,2019-11-05 10:40:27,0.7052370876073835,0.0546659064996078,0.6724444603919981,0.026538037639525662
5,5,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.8685999777913097,0.5974666795134542,2019-11-05 12:40:49,0.9972054868936537,0.026155685170841873,0.5720000126957894,0.013161354047140097
5,5,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.8705000445246694,0.5745555660128592,2019-11-05 12:43:52,1.0439760994911196,0.024575146415770143,0.5805555668473242,0.010131685458248923
5,5,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.8590000492334366,0.7050000166893007,2019-11-05 12:44:12,0.9842752909660338,0.021389184211637633,0.6291111177206041,0.010735049902722702
5,5,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.863166713118553,0.577222234904766,2019-11-05 12:44:17,1.0963817125558846,0.026432351212780196,0.5674444541335106,0.01018300040698519
5,5,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.8185000446438788,0.6471111166477206,2019-11-05 12:45:35,1.0557036161422735,0.02572907968871902,0.5885555654764179,0.011808925120694397
5,5,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9138571479916576,0.7912381076812743,2019-11-05 12:46:28,0.8110151213407515,0.022625760412095762,0.6982857322692874,0.010102530644921049
5,5,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.8425714379549029,0.7024762082099915,2019-11-05 12:47:05,0.9382330918312072,0.021750547386255963,0.6312381172180168,0.009902667009408426
5,5,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9641999852657318,0.7802666831016544,2019-11-05 12:47:16,0.6472625029087068,0.022654471564988902,0.7473333501815798,0.009913946428888197
5,5,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9343999812006955,0.7456000155210494,2019-11-05 12:47:19,0.7002118688821795,0.02080929252271638,0.722533349990845,0.010724963835605528
5,5,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.8851667100191116,0.6430000084638594,2019-11-05 12:52:23,0.9676872539520266,0.021667315533479538,0.6055555635690689,0.008145557782438962
2,2,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.9173333728313445,0.7651111248135568,2019-11-05 10:40:36,0.6379994925856588,0.03577311660619271,0.7482222372293473,0.015114162942087775
5,5,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.8561667162179948,0.7637778037786482,2019-11-05 12:52:38,0.8808712625503541,0.021656976042043814,0.6612222319841387,0.009922037088431104
5,5,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.8675000461936,0.571111120581627,2019-11-05 12:53:54,1.0695208281278614,0.022984647159173536,0.561444454193115,0.00896829050314343
5,5,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9055000436306,0.6962222373485563,2019-11-05 12:54:10,0.9001734578609465,0.025025290206623224,0.6721111249923707,0.009726989714672387
5,5,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9315714326500891,0.8213333439826963,2019-11-05 12:55:36,0.7239337205886838,0.020881944522042166,0.7348571586608884,0.007815449311293774
5,5,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9081428626179697,0.751523824334145,2019-11-05 12:55:54,0.9033659023046493,0.02078996490482931,0.6560000205039979,0.007781871589849866
5,5,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9325999787449836,0.7788000160455701,2019-11-05 12:56:02,0.6486360529065133,0.020049717228321218,0.7425333493947981,0.009676750274484041
5,5,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9079999765753752,0.7572000181674956,2019-11-05 12:56:46,0.663074400126934,0.02138867856935265,0.7440000128746032,0.009166443487030756
5,5,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.8958333757519724,0.6278888994455337,2019-11-05 13:02:13,0.9807091104984281,0.020031871491524304,0.6042222312092782,0.009619446030781185
5,5,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.936166707575321,0.7736666905879973,2019-11-05 13:02:19,0.8763042277097701,0.02562900873017282,0.6820000123977662,0.009733316413940624
5,5,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.849166713356972,0.5985555669665334,2019-11-05 13:03:58,1.0349543309211733,0.017682056240099674,0.5741111218929291,0.009093481602358216
2,2,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.8930000111460686,0.8096667069196704,2019-11-05 10:40:46,0.5452410776913165,0.02373551128981581,0.774000045061111,0.012675749257937245
5,5,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.848333380818367,0.7228889065980914,2019-11-05 13:04:55,0.8667554587125778,0.022234554861384086,0.6796666800975801,0.01045597046574719
5,5,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9464285746216776,0.8259047728776931,2019-11-05 13:05:47,0.6564877372980119,0.019715661187523707,0.7632381093502045,0.007977249331194997
5,5,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.8808571499586104,0.7546666812896727,2019-11-05 13:06:31,0.8069183373451232,0.018890113503168555,0.6845714473724366,0.008622906467070233
5,5,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9355999794602395,0.8116000211238861,2019-11-05 13:06:37,0.5785104751586914,0.016760924780964137,0.7718666845560074,0.008694425422341485
5,5,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9395999786257745,0.7577333486080169,2019-11-05 13:07:18,0.712210248708725,0.020259151801720283,0.7209333467483521,0.010586158967871783
