train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp,test.loss.mean,test.loss.confidence,test.acc.mean,test.acc.confidence
4,4,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9433999806642531,0.8842666894197464,2019-11-18 14:48:26,0.48110784888267527,0.019715923752225136,0.8218666851520539,0.009810034730868533
4,4,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9650000250339507,0.9280000191926956,2019-11-18 14:49:46,0.3601338554918766,0.021262787243301096,0.8730000215768816,0.008404653363081386
4,4,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9560000309348107,0.9011111313104632,2019-11-18 14:49:55,0.4346511091291903,0.022042263031287562,0.8456666916608812,0.009388150868192212
4,4,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9889999994635578,0.9481667119264603,2019-11-18 14:50:33,0.3007487341016532,0.02130582809827881,0.8826667094230648,0.010308380458945034
4,4,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9864999979734419,0.913500044345856,2019-11-18 14:51:06,0.32321838587522506,0.023950886786686852,0.8766667145490646,0.010839280813350605
4,4,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.9175999823212624,0.7890666842460636,2019-11-18 14:53:33,0.6256214907765387,0.02580552186781828,0.7262666827440265,0.01573908530793942
4,4,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9601999837160107,0.9006666880846023,2019-11-18 14:54:20,0.42763562679290784,0.021580551336418948,0.8420000195503234,0.010508457951468982
4,4,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.933199987113476,0.782266684174538,2019-11-18 14:54:20,0.6052342998981474,0.026373517114188262,0.7301333498954775,0.015587867932087676
4,4,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.953199981749058,0.884533352255821,2019-11-18 15:01:35,0.47761738792061803,0.024987601835748625,0.8326666891574861,0.010100075427193322
4,4,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9740000221133236,0.9266666859388355,2019-11-18 15:02:05,0.3349376352131368,0.018353070364251878,0.8786666870117189,0.007804232577614671
