train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp,test.loss.mean,test.loss.confidence,test.acc.mean,test.acc.confidence
5,5,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9177999767661098,0.8498666870594024,2019-11-06 20:32:21,0.575032989680767,0.018360926725422392,0.7818666857481,0.010094233713391892
5,5,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9527999821305273,0.8146666836738585,2019-11-06 20:32:24,0.47642315685749054,0.016152656521072402,0.8194666880369188,0.008424635311728122
5,5,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9565000191330905,0.7355555796623233,2019-11-06 20:48:02,0.8690682512521747,0.02193899711641808,0.6590000075101852,0.008034200687944833
5,5,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9216667097806928,0.8167778027057648,2019-11-06 20:49:30,0.643308987319469,0.021608203829054304,0.7647778016328813,0.009187820192455681
5,5,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9248333713412289,0.6800000095367432,2019-11-06 20:56:53,0.9481713241338733,0.018829746418529872,0.6110000091791156,0.00860874246074515
2,2,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.967750001847744,0.9243333733081817,2019-11-06 15:52:31,0.3404863423109053,0.023906698427666802,0.8758333784341814,0.010417129279126502
5,5,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9488333654403688,0.8103333562612534,2019-11-06 20:57:59,0.6656913408637046,0.021196757450489025,0.7711111354827881,0.009045652908431637
5,5,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9632857164740559,0.8920000225305553,2019-11-06 20:59:25,0.5966691863536837,0.021265525218706956,0.7853333461284638,0.007791544522844101
5,5,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9361428609490398,0.8222857248783109,2019-11-06 21:00:04,0.5792750892043116,0.019586688459012614,0.8036190593242645,0.007365960159078104
5,5,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.920399979054928,0.8512000215053561,2019-11-06 21:00:41,0.5822932240366934,0.016933477441219563,0.7798666846752168,0.009245090499961618
5,5,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9065999776124952,0.8374666863679884,2019-11-06 21:01:50,0.5413082918524746,0.015238919180749128,0.7980000203847885,0.009139121445352168
5,5,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.8835000398755072,0.689222233891487,2019-11-06 21:13:38,0.8648548448085783,0.015410418478419532,0.6513333433866498,0.008786567290713365
5,5,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9230000448226932,0.858333355784416,2019-11-06 21:13:51,0.6000067576766014,0.023047311209423348,0.7844444698095322,0.008443012304296008
5,5,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9018333718180661,0.6974444615840913,2019-11-06 21:14:26,0.8323517751693729,0.016223636182105088,0.6580000114440921,0.008790928069057393
5,5,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9083333793282512,0.8151111376285554,2019-11-06 21:15:33,0.6918590134382249,0.019240349699354835,0.7500000232458116,0.009011163158840294
5,5,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9658571448922156,0.8899047875404357,2019-11-06 21:15:33,0.5586052066087726,0.018492935926632856,0.8064762020111084,0.006679864785942587
