train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp
5,5,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9315714326500891,0.8213333439826963,2019-11-05 12:55:36
5,5,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9081428626179697,0.751523824334145,2019-11-05 12:55:54
5,5,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9325999787449836,0.7788000160455701,2019-11-05 12:56:02
5,5,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9079999765753752,0.7572000181674956,2019-11-05 12:56:46
5,5,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.8958333757519724,0.6278888994455337,2019-11-05 13:02:13
5,5,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.936166707575321,0.7736666905879973,2019-11-05 13:02:19
5,5,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.849166713356972,0.5985555669665334,2019-11-05 13:03:58
2,2,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.8930000111460686,0.8096667069196704,2019-11-05 10:40:46
5,5,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.848333380818367,0.7228889065980914,2019-11-05 13:04:55
5,5,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9464285746216776,0.8259047728776931,2019-11-05 13:05:47
5,5,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.8808571499586104,0.7546666812896727,2019-11-05 13:06:31
5,5,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9355999794602395,0.8116000211238861,2019-11-05 13:06:37
5,5,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9395999786257745,0.7577333486080169,2019-11-05 13:07:18
5,5,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.8998333731293681,0.6632222306728365,2019-11-05 13:13:30
5,5,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9308333733677864,0.7620000231266022,2019-11-05 13:13:35
5,5,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9078333699703215,0.6532222342491149,2019-11-05 13:15:22
5,5,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9188333782553669,0.7173333525657655,2019-11-05 13:16:15
5,5,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9160000050067901,0.8343809628486633,2019-11-05 13:17:40
2,2,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.9225000080466271,0.8050000452995304,2019-11-05 10:41:35
5,5,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9475714316964151,0.7852381080389026,2019-11-05 13:18:22
2,2,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9540000072121623,0.9203333669900893,2019-11-05 10:45:23
2,2,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.943500008285046,0.9016667097806931,2019-11-05 10:45:28
2,2,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.9253333497047425,0.7488889017701148,2019-11-05 10:46:44
2,2,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.8180000106617812,0.6533333707600832,2019-11-05 10:33:36
2,2,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9496666994690894,0.8404444539546964,2019-11-05 10:46:54
2,2,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9506666836142538,0.6695555734634399,2019-11-05 10:46:56
2,2,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9530000257492071,0.7862222343683241,2019-11-05 10:47:19
2,2,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.8997500112652776,0.8211667108535768,2019-11-05 10:48:12
2,2,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.931250006556511,0.810833379626274,2019-11-05 10:49:46
2,2,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9720000064373023,0.9286666989326476,2019-11-05 10:51:06
2,2,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9535000090301033,0.9200000393390654,2019-11-05 10:51:06
2,2,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9643333464860914,0.739777790904045,2019-11-05 10:53:30
2,2,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9296667090058321,0.8168888998031616,2019-11-05 10:53:36
2,2,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9410000237822533,0.7104444599151607,2019-11-05 10:53:41
2,2,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.7153333699703213,0.6031111273169515,2019-11-05 10:33:36
2,2,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.8643333822488786,0.7495555698871613,2019-11-05 10:54:36
2,2,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9710000002384183,0.881500044465065,2019-11-05 10:56:33
2,2,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9477500027418131,0.8465000456571579,2019-11-05 10:57:35
2,2,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9550000080466279,0.9486666953563689,2019-11-05 10:57:38
2,2,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9430000080168247,0.8906667160987854,2019-11-05 10:59:13
2,2,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.9240000179409981,0.7175555701553823,2019-11-05 11:01:58
2,2,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9266667047142985,0.8475555646419523,2019-11-05 11:02:12
2,2,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9530000191926955,0.7180000150203705,2019-11-05 11:02:15
2,2,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9356667062640194,0.8155555665493011,2019-11-05 11:04:11
2,2,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9417500057816499,0.8835000431537626,2019-11-05 11:05:01
2,2,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.7203333720564844,0.6324444612860678,2019-11-05 10:33:36
2,2,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9300000083446505,0.8363333797454834,2019-11-05 11:05:43
3,3,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.8723333710432053,0.622444459795952,2019-11-05 11:06:19
3,3,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.810000044703483,0.6420000171661375,2019-11-05 11:07:06
3,3,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.8102500134706503,0.5088333603739739,2019-11-05 11:10:18
3,3,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.6912500119209292,0.5580000293254854,2019-11-05 11:10:31
3,3,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.5135000101290644,0.37733335524797434,2019-11-05 11:10:34
3,3,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.6997500118613241,0.5058333611488344,2019-11-05 11:11:59
3,3,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.8019999787211417,0.670933346748352,2019-11-05 11:12:40
3,3,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.7901999780535697,0.6245333465933799,2019-11-05 11:13:55
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9623333570361138,0.8577777862548825,2019-11-05 11:14:45
2,2,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.6163333620131017,0.49600001588463766,2019-11-05 10:33:36
3,3,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9536666923761367,0.836666676402092,2019-11-05 11:15:31
3,3,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9302500021457671,0.6791667050123218,2019-11-05 11:16:23
3,3,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.8842500105500221,0.7531667059659956,2019-11-05 11:16:33
3,3,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9180000036954882,0.6110000351071357,2019-11-05 11:16:37
3,3,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.8817500117421152,0.6998333752155304,2019-11-05 11:18:10
3,3,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9111999753117564,0.8128000181913378,2019-11-05 11:19:51
3,3,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.9263999813795091,0.8060000193119052,2019-11-05 11:21:47
3,3,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9180000379681581,0.8391111207008362,2019-11-05 11:21:57
3,3,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.969000020623207,0.8108888998627661,2019-11-05 11:22:28
3,3,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.9385000011324879,0.6906667086482045,2019-11-05 11:23:07
2,2,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.7633333727717397,0.6075555738806725,2019-11-05 10:33:36
3,3,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9147500085830692,0.7765000426769254,2019-11-05 11:23:38
3,3,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.898750007450581,0.6523333698511126,2019-11-05 11:23:41
3,3,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.887750012874603,0.7751667064428329,2019-11-05 11:25:22
3,3,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9597999846935269,0.8433333545923234,2019-11-05 11:26:41
3,3,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9311999797821048,0.8080000215768813,2019-11-05 11:28:28
3,3,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.976333351135254,0.873333340883255,2019-11-05 11:28:49
3,3,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9616666933894158,0.8675555634498596,2019-11-05 11:30:15
3,3,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9017500063776973,0.6848333740234378,2019-11-05 11:30:50
3,3,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9550000008940693,0.8221667104959485,2019-11-05 11:31:32
3,3,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9290000048279756,0.653000037074089,2019-11-05 11:31:38
2,2,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.7357500104606155,0.7193333765864369,2019-11-05 10:33:36
3,3,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9120000094175339,0.7630000424385072,2019-11-05 11:33:41
3,3,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9543999826908107,0.8522666889429097,2019-11-05 11:35:38
3,3,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9185999786853793,0.81213335454464,2019-11-05 11:37:47
3,3,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9703333550691603,0.8615555638074874,2019-11-05 11:38:50
3,3,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9343333706259727,0.8271111214160919,2019-11-05 11:39:21
3,3,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.8880000051856044,0.6963333705067634,2019-11-05 11:40:03
3,3,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9200000083446498,0.8213333767652512,2019-11-05 11:40:16
3,3,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9477500011026863,0.7138333737850188,2019-11-05 11:40:20
3,3,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9132500088214874,0.7830000436305998,2019-11-05 11:42:39
3,3,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9475999817252158,0.8661333549022675,2019-11-05 11:45:56
2,2,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.8605000081658367,0.6991667053103446,2019-11-05 10:33:36
3,3,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9221999794244762,0.8284000223875047,2019-11-05 11:47:24
4,4,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.7272500123828652,0.5233333599567414,2019-11-05 11:48:10
